id	preprocessed_text	text	label
22957112	" <user> : $ iwm <number> - minute chart . small caps threatening descending triangle breakdown under $ <number> . <url>	&quot;@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20. http://stks.co/r0KKm&quot;	0
9649799	$ cprx friday was last chance under $ <number> 	$CPRX Friday was last chance under $2....	1
16475865	$ cndo <number> % short float , shorts likely to take profits into close	$CNDO 21% short float, shorts likely to take profits into close	0
5879852	$ gs - <number> % new <number> lows . $ <number> puts <number> % , <number> , now deep in the money : <url> i see no reason to sell yet	$GS -2.86% new 88.69 lows. $90 puts +60%, 2.46, now deep in the money: http://stks.co/1Elu, I see no reason to sell yet	0
719527100584226816	$ baba is going to be an interesting one . $ baba	$BABA is going to be an interesting one . $BABA	1
719623634512257024	facebook has now been down <number> minutes . $ fb	Facebook has now been down 10 minutes . $FB	0
710286206345551873	<user> <user> $ aapl is working with local financing agents to allow for the growing middle class in india to buy the iphone se !	@mobile_reach @anshublog $AAPL is working with local financing agents to allow for the growing middle class in India to buy the iPhone SE!	1
28243743	$ nq could that have been a strategy to exit shorts before the big pop ?	$NQ Could that have been a strategy to exit shorts before the big pop?	1
5888204	<user> europe banks to implode . the stress tests failing and the big swirl is very near for bonds , cds , debt , cash and gold . $ gld selloff ?	@alaidi Europe banks to implode. The stress tests failing and the Big Swirl is very near for bonds, CDS, debt, cash and gold. $GLD selloff?	0
33671861	$ isrg - isrg short - <url> <url>	$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm	0
38833804	$ bb . ca $ bbry some competitors worry that blackberry is the inevitable successor to northern telecom , but with much more competent leadership .	$BB.CA $BBRY Some competitors worry that BlackBerry is the inevitable successor to Northern Telecom,but with much more competent leadership.	1
719905644648632320	activision blizzard media networks announces record esports viewership <url> $ atvi partnered with $ hdsi for <number> tournament	Activision Blizzard Media Networks Announces Record #Esports Viewership https://t.co/729BiqLbtK $ATVI partnered with $HDSI for 9 #tournament	1
10421113	<user> $ arna bought it at <number> sold at <number> and its been nothing but down - $ <number> :) it & # <number> ; s inevitable if korea is all they have	@KillinMe $arna bought it at 7 sold at 15.12 and its been nothing but down - $6.35 :) it&#39;s inevitable if Korea is all they have	0
710857137585528836	addding tsla ss , added small vrx long $ tsla $ vrx	addding tsla ss , added small vrx long $TSLA $VRX	1
719514715010035712	iphone <number> may not be as secure as apple thought $ aapl <url>	iPhone 6 may not be as secure as Apple thought.. $AAPL https://t.co/3YxdrAJcGS	0
719590747876384768	$ googl is setting up above its <number> - day moving average . <url>	$GOOGL is setting up above its 50-day moving average. https://t.co/tTm9RnFoXJ	1
24290516	$ aapl apple ( aapl ) price target raised to $ <number> at btig	$AAPL Apple (AAPL) Price Target Raised to $112 at BTIG	1
10776079	$ clwr is waking up	$CLWR is waking up	1
6145354	<user> who upgraded $ athn ?	@karleggerss Who upgraded $ATHN?	1
10573348	while fear is mechanically driving public markets lower , record corp . cash & amp ; cheap financing is fueling a wave of acquisitions $ kyak $ tea	While fear is mechanically driving public markets LOWER, record corp. cash &amp; cheap financing is fueling a wave of acquisitions $KYAK $TEA	1
710537211318575104	$ tsla not dipping - testing the <number> day ma <url>	$TSLA not dipping - testing the 200 day ma https://t.co/jEPLmZQKGW	1
709435568510377984	$ msft is opening up its xboxlive online service to gamers on other platforms <url>	$MSFT is opening up its #XboxLive online service to gamers on other platforms https://t.co/KM84m3SCeJ	1
6183420	sounds to me like the cost cutting at $ tap has just about run its course , tom long needs to find a way to turn around miller lite quickly .	Sounds to me like the cost cutting at $TAP has just about run its course, Tom Long needs to find a way to turn around Miller Lite quickly.	0
34043220	$ ibio up <number> % in premarket ready for lift off	$IBIO up 10% in premarket ready for lift off	1
719582524142403584	$ v $ pcln cnbc a up both  short lololol <user> <user> <user> <user> <user> <user> <user>	$V $PCLN CNBC A Up'd both... short lololol @KeyTrader1 @CamilleHurn @WartenbergHans @TradersCom @JohnConaway @ultrashort1 @TheDayTradr	0
5704210	$ cmi <url> decision time . over the tl it can go to <number> , below it can go to <number>	$CMI http://stks.co/zMd Decision time. Over the TL it can go to 114, below it can go to 90.	1
5512311	book on jobs makes news citing steve jobs saying he cracked the code on simplifying integrating tv with cloud . imagine $ aapl tv impact ! ! $ $ $	Book on Jobs makes news citing Steve Jobs saying he cracked the code on simplifying integrating TV with cloud. Imagine $AAPL TV impact!! $$$	1
708447754347884545	$ qcom chart : qualcomm short <number> % retracement , trendline and resistance . <url>	$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY	0
719807125648764928	supermarket stocks rally as tesco plans to axe non - core uk assets $ tsco <url>	Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets $TSCO https://t.co/BmvhcrwREA	1
15537605	$ drys btw when there is turmoil in the mena region shippers perform - same as oil performs with the same turmoil	$DRYS BTW when there is turmoil in the MENA region shippers perform - same as oil performs with the same turmoil	1
7595388	$ ms imo dont think get chance to buy below $ <number> unless europe falls otherwise folks will wake up n see $ jpm earnings were good and $ bac too	$MS IMO dont think get chance to buy below $16 UNLESS europe falls otherwise folks will wake up n see $JPM earnings were good and $BAC too	1
25406637	<user> $ spy has been a bull and $ gld a bear , any way u cut it . $ gdx $ slv	@briander81 $spy has been a bull and $gld a bear, any way u cut it. $gdx $slv	1
9969988	rt sold <number> position @ $ <number> + $ <number> <user> long $ amzn oct $ <number> calls @ $ <number>	RT Sold 1/2 position @$5.70 +$.80 @rsblades Long $AMZN Oct $240 Calls @ $4.90	1
5601699	$ nvda sideways	$NVDA sideways	1
719910804804542464	<user> stock has moved much since first few weeks after split but still long term fan ! $ sbux	@GerberKawasaki stock hasn't moved much since first few weeks after split but still long term fan! $sbux	1
5955346	$ trx <url> long setup . macd cross .	$TRX http://stks.co/1KkK Long setup. MACD cross.	1
711967372190552064	this is what you get . $ sne	this is what you get . $SNE	0
15803502	$ bbry the more you use a bb <number> device the better you feel about your investment . miles beyond the competition but frozen in the headlights .	$BBRY The more you use a BB10 device the better you feel about your investment. Miles beyond the competition but frozen in the headlights.	1
719571979314077696	timberrrr $ tsla <url>	Timberrrr $TSLA https://t.co/MRBgfDHHVa	0
5693883	$ idcc - $ <number> share total value of company after crunching # & # <number> ; s . the <number> g technology is their diamond in the rough .	$IDCC - $89 share total value of company after crunching #&#39;s. The 4g technology is their diamond in the rough.	1
14080257	" <user> : $ unxl another story stock with an unhappy ending . typical . " yeah . pretty much . we have seen so many of these .	&quot;@jbraica: $UNXL another story stock with an unhappy ending. Typical.&quot; Yeah. Pretty much. We have seen so many of these.	0
6122618	$ adbe shares up ~ <number> % after hours ; q <number> eps <number> c , beats by <number> c ; sees q <number> adj - eps <number> - <number> c , vs . cons . <number> c , sales $ <number> - $ $ <number> b , vs . cons . $ <number> b	$ADBE shares up ~7% after hours; Q4 EPS 67c, beats by 7c; sees Q1 adj-EPS 54-59c, vs. cons. 58c, sales $1.025-$$1.075B, vs. cons. $1.05B	1
719610624699838464	$ fb to $ <number> tomorrow ! ? ! show me the $ $ $	$FB TO $107 TOMORROW!?! Show me the $$$	1
13937216	now i can blame my clubs for being a terrible golfer $ ely downgraded to neutral at wedbush , pt lowered to <number>	Now I can blame my clubs for being a terrible golfer $ELY downgraded to Neutral at Wedbush, PT Lowered to 7.00	0
719940431799328768			1
28162967	$ ko : us coca - cola co <number> oct positive newssentiment <url> russell <number>	$KO:US #COCA-COLA CO 19Oct Positive #NewsSentiment http://stks.co/r0uNG #Russell200	1
15658194	$ etn upgrade today by ms to overweight . excellent company and leadership	$ETN UPGRADE today by MS to overweight. Excellent company and leadership	1
5988258	fbr capital reiterated " outperform " rating on $ brcm with a price target of $ <number> on friday .	FBR Capital reiterated &quot;Outperform&quot; rating on $BRCM with a price target of $45.00 on Friday.	1
719885850658508800	took some $ endp long this am . $ endp	took some $ENDP long this am . $ENDP	1
719930267801137152	deutsche bank downgrades starbucks because of new loyalty program <url> $ sbux	Deutsche Bank downgrades Starbucks because of new loyalty program https://t.co/Iy4LCUGABc $SBUX	0
26919965	$ rad i would consider this opportunity to add my position because the company is on the right track they are still improving sales 	$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...	1
710575829563138049	google decision to sell robot business exposes growing pains <url> <user> via <user> $ googl <url>	Google's decision to sell robot business exposes growing pains https://t.co/gK8zwyVgMo @ShiraOvide via @bfly $GOOGL https://t.co/JITgHii7kw	0
22729575	$ plug closed short position . small gain . not interested in options expiring worthless	$PLUG Closed short position. Small gain. Not interested in options expiring worthless	1
36514212	$ gild let & # <number> ; s go up gilead ! enough with this movement already !	$GILD Let&#39;s go up Gilead! Enough with this movement already!	1
709199955005710336	<number> weeks of harvoni + vedroprevir cures <number> % of hard - to - treat hepatitis c <url> livermeeting $ gild liver <number>	8 Weeks of Harvoni + Vedroprevir Cures 96% of Hard-to-Treat #Hepatitis C https://t.co/OwCAu5rfSt #LiverMeeting $GILD #Liver15	1
719825008327954432	pc shipments drop to lowest level since <number> . $ hpq	PC shipments drop to lowest level since 2007 . $HPQ	0
30619865	$ xli potential intermediate top in an uptrend on a <number> & # <number> ; - <number> & # <number> ; - <number> & # <number> ; charts <url>	$XLI Potential intermediate top in an Uptrend on a 60&#39;-15&#39;-4&#39; charts http://stks.co/j1TdF	1
5396231	$ vxx adding to position here !	$vxx adding to position here !	1
33802735	$ baa weak hands being flushed from metals and miners . fear selling . guess who is buying ? mr greed .	$baa weak hands being flushed from metals and miners. Fear selling. Guess who is buying? Mr Greed.	1
20522452	$ plug i don & # <number> ; t intend on being the nay sayer , cuz i love this stockco . but we may see <number>	$PLUG I don&#39;t intend on being the nay sayer, cuz I love this stock/Co. but we may see 4.29	0
719524411489976320	<user> ~ ( * ) ! !	@minanishiawaseo ~ (* ) !!	0
719618401656811520	<user> what percentage of that will never be used ? bigger win for $ sbux	@MarketWatch what percentage of that will never be used? Bigger win for $SBUX	1
14061640	booz allen leveraged loan slips alongside shares on nsa leak news $ bah nsa	Booz Allen leveraged loan slips alongside shares on NSA leak news $BAH #NSA	0
719923908166709248	ure has lots of attractive suitors . $ yhoo	ure has lots of attractive suitors . $YHOO	1
7873895	$ dis <number> m globally this week on avengers really sick , stan lee is a beast	$DIS 640m globally this week on avengers really sick ,Stan lee is a beast	1
21680670	$ isr don & # <number> ; t short this stock , you might get left behind  <url>	$ISR Don&#39;t short this stock, you might get left behind... http://stks.co/b0OrM	1
6037370	short more $ faz for all who don & # <number> ; t know that means markets will tank now : - p	Short more $FAZ for all who don&#39;t know that means markets will tank now :-p	0
38272763	$ neon need to break $ <number> again	$NEON need to break $4 again	1
5376561	rt <user> $ cat <url> target <number> , perhaps i & # <number> ; m too optimistic . keeping my stops a bit on the tight side <number> - <number> . nov .	RT @abdulalikon $CAT http://stks.co/Z67 Target 85, perhaps I&#39;m too optimistic. Keeping my stops a bit on the tight side...90-95..Nov.	1
719571943767281664	$ tsla recalls <number> , <number> model x cars . stock dropping hard 	$TSLA recalls 2,700 Model X cars. Stock dropping hard...	0
8870370	$ amrn put money in $ hznp better option , because drug already make money , n more indication , potential up next qe	$amrn put money in $hznp better option, because drug already make money, n more indication, potential up next qe	0
719532537614364672	<number> years after release , windows xp is still the <number> rd most popular os even though it is no longer supported by $ msft - <url>	15 years after release, Windows XP is still the 3rd most popular OS even though it is no longer supported by $MSFT - https://t.co/7KKrXvUZnV	1
719630671220776960	drugs and biotech getting perky <url> via <user> $ ibb $ mrk $ gild $ amgn $ gsk	Drugs and Biotech Getting Perky https://t.co/mODxkK063u via @barronsonline $IBB $MRK $GILD $AMGN $GSK	1
710793306100228096	going back in , but slowly ; tc <number> alert example : $ edu - glb ; $ tse , $ isrg <url> <url>	Going back in, but slowly; TC2000 alert example: $EDU- GLB; $TSE, $ISRG https://t.co/9yYNq3mvLe https://t.co/MKkfo2Fwfn	1
719571611263897600	, katipsinetai	, #katipsinetai	0
34019765	$ amrn i think you should all realize the interest level has skyrocketed here the last two weeks as well as abroad , that = more $ <number> & # <number> ; s	$AMRN I think you should all realize the interest level has skyrocketed here the last two weeks as well as abroad, that = more $00.00&#39;s	1
719892780701597696	alert : new rsi signal created on $ cost - buy at <number> - time : <number> : <number> - strength : <number> powered by <url>	ALERT: New RSI signal created on $COST - Buy at 148.78 - Time: 14:19 - Strength: 10. Powered by https://t.co/MhOBzU3Rmx	1
36124809	homebuilders - $ ryl breaking below support , watch this one . $ spy	Homebuilders - $RYL breaking below support, watch this one. $SPY	0
710235175351820288	$ aapl moves up a little more today off of cup and handle <url>	$AAPL moves up a little more today off of cup and handle https://t.co/KIsWHATdC1	1
12943460	$ amrn so what was that @ <number> a . m . ? a & # <number> ; mini me & # <number> ; & # <number> ; wanna be & # <number> ; bear raid ?	$AMRN So what was that @ 11 a.m.? A &#39;mini me&#39; &#39;wanna be&#39; bear raid?	0
12564320	$ bbry bye bye sammy . hello bb . sounds like we & # <number> ; ll see some green tomorrow .	$BBRY bye bye Sammy. Hello BB. Sounds like we&#39;ll see some green tomorrow.	1
19388705	new " large player sells " stocks <url> $ cpwr $ ga $ ul	new &quot;large player sells&quot; #stocks http://stks.co/qucG $CPWR $GA $UL	0
9233685	$ aapl <number> today !	$AAPL 680 today!	1
6213230	ready to break $ qcom watching at <number> <url>	ready to break $QCOM watching at 55.7 http://chart.ly/hlgtpwa	1
708799838830391296	forget drone delivery . <user> just signed a deal to lease <number> boeing <number> cargo planes . <url> $ amzn <url>	Forget drone delivery. @amazon just signed a deal to lease 20 Boeing 767 cargo planes. https://t.co/kmgeuemwOC $AMZN https://t.co/gJXM6GnJsp	1
36672935	<user> <user> not surprising they would pull something like that , considering small businesses have called $ yelp a scam for years .	@IronLion @jameslast Not surprising they would pull something like that, considering small businesses have called $YELP a scam for years.	0
10712128	amazon declares & # <number> ; best ever & # <number> ; black friday and cyber monday for kindle family <url> via engadget $ amzn	Amazon declares &#39;best ever&#39; Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN	1
15960926	$ aapl the gist of downgrades was apple failed to make a phone that will help supercharge growth in china , what if they were <number> % right ? umm	$AAPL The gist of downgrades was apple failed to make a phone that will help supercharge growth in China, what if they were 100% right? umm	0
25341716	$ nok smartphone wars wound samsung as nokia rallies : chart of the day <url>	$NOK Smartphone Wars Wound Samsung as Nokia Rallies: Chart of the Day http://stks.co/g0tcW	1
7156920	multi top on $ mcd chart finally leads to a fall in price . stability is questioned in the stock but coming weeks will tell .	Multi Top on $MCD chart finally leads to a fall in price. Stability is questioned in the stock but coming weeks will tell.	0
709411365299982336	$ fit and $ sune have not changed . . $ fit	$FIT and $SUNE have not changed. . $FIT	0
719738412085813248	dailymail content is perfect for yhoo demographics . $ yhoo	Dailymail content is perfect for YHOO demographics . $YHOO	1
34637295	<number> toxic stocks raising red flags to sell this week $ su <url>	5 Toxic Stocks Raising Red Flags to Sell This Week $SU http://stks.co/d1xaD	0
18949027	$ fb a beautifully orchestrated market , again . i would like to know who the mm for fb is .	$FB A beautifully orchestrated market, again. I would like to know who the mm for fb is.	1
719601635639492608	$ tsla recalls <number> , <number> model x vehicle . shares volatile . $ tsla	$TSLA Recalls 2,700 Model X Vehicle . Shares Volatile . $TSLA	0
709737853639663617	bullshit ! all applestores are empty in china $ ms must be preparing to liquidate $ aapl <url> <url>	Bullshit! All #AppleStores are EMPTY in #China $MS must be preparing to liquidate $AAPL https://t.co/mvqXVS1JE8 https://t.co/OzHNY1cJ8P	0
5499624	<user> mute point if china hard landing , european bank collapse , american double dip  $ aapl won & # <number> ; t have anyone buying products	@not_travis Mute point if china hard landing, European bank collapse, american double dip...$aapl won&#39;t have anyone buying products..	0
31615895	$ gs sells flat i am out	$GS sells flat..I am out..	0
719519136318169088	cracking lower early . $ short . correction . $ short	cracking lower early . $short . #correction . $SHORT	0
21026010	today & # <number> ; s momentum movers <url> stocks $ mobi $ cdti $ ilmn	today&#39;s momentum movers http://stks.co/j0OH1 #stocks $MOBI $CDTI $ILMN	1
710813911994400768	guess the late traders will be stocking up on $ tsla now ( feb <number> th was the day to buy ) . <url>	Guess the late traders will be stocking up on $TSLA now (Feb 10th was the day to buy). https://t.co/aye9Mw77zy	1
711720585143967744	so people thk $ twtr is a failure ' cos it has jst <number> % of the users $ fb has  bt they're forgetting the potential relative value of its users	So people thk $TWTR is a failure 'cos it has jst 20% of the users $FB has...bt they're forgetting the potential relative value of its users	1
18479024	$ dnn picked some up , like this going into <number>	$DNN picked some up, like this going into 2014	1
719926154082258944	no la pienso tirar	No la pienso tirar	0
719575777990328320	$ tsla short	$TSLA short	0
719605317365936128	$ save long . <url>	$SAVE long. https://t.co/yEJuS9cMlC	1
719571627793453056	$ tsla recalling pretty much every single model x <user> got to short that even at work you jump in money trade	$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade	0
5564467	$ skx turning . coming from far could go far . stock price implies you pay nothing for the business	$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business	1
719842907377770496	rt <user> : rt <user> : period pussy taste like pennies and nigga im all about my money <url>	RT @iAmTerrace: RT @Jacti0nJ: Period pussy taste like pennies and nigga I'm all about my money https://t.co/qzpM4tulSG	1
719554207280332800	pivotal upgrades alphabet ahead of q <number> results <url> $ goog $ googl	Pivotal upgrades Alphabet ahead of Q1 results https://t.co/l70hRKRnFR $GOOG $GOOGL	1
5561391	$ pcln back over " up " trendline from <number>	$pcln back over &quot;up&quot; trendline from 10/4	1
32374598	$ isis brutal slide . feels better on the way up . still long .	$ISIS Brutal slide. Feels better on the way up. Still long.	0
10165953	<user> $ cytk has had a history of a lack of pr  a shame for investors	@BiotechMaster $CYTK has had a history of a lack of PR...a shame for investors	0
6417259	looks like a big feb <number> - <number> $ put spread on $ cree . last quarter <number> % yoy rev growth trading @ <number> x earnings . i may try a short .	looks like a big feb 18-22 $put spread on $cree. Last quarter 0% YoY rev growth trading @ 24x earnings. I may try a short.	0
15249839	$ spy rsi lowest level since october <number> $ dia	$SPY RSI lowest level since October 2012 $DIA	1
719877373802340352	rt <user> : <url>	RT @XiuminThailand: https://t.co/dZvyp0Ve1w	1
10042291	$ ba seriously er comig up and it will have to be a guide down with the delay and this thing holding strong me smell rate	$ba seriously ER comig up and it will have to be a guide down with the delay and this thing holding strong me smell rate	1
13160115	$ bbry certainly getting a lot more attention recently yet not that much ( price ) has changed . posted this jan . <number> th <url>	$BBRY Certainly getting a lot more attention recently yet not that much (price) has changed. Posted this Jan. 12th http://stks.co/s9Mc	1
31794932	$ ddd <number> d systems ( ddd ) stock receives ratings downgrade today at jefferies <url>	$DDD 3D Systems (DDD) Stock Receives Ratings Downgrade Today at Jefferies http://stks.co/g1cqd	0
719540167732699136	tesla dropped a hard j this morning $ tsla <url>	Tesla dropped a hard J this morning $TSLA https://t.co/L8uK1UaVyk	0
719597174946992128	shareholders welcome marriott - starwood deal . $ mar	Shareholders welcome Marriott-Starwood deal . $MAR	1
7790395	market seems stuck in the mud $ spy	Market seems stuck in the mud.. $SPY	0
27289677	$ ecyt it shoots to the moon as my favorite pumper would say . u know who u r . we still luv u man . u make us laugh . here & # <number> ; s hoping ur right ! !	$ECYT it shoots to the MOON as my favorite pumper would say. U know who u r. We still luv u man. U make us laugh. Here&#39;s hoping ur right!!	1
20290521	$ iaci vision : near - term target $ <number> <url>	$IACI VISION : near-term target $77.38 http://stks.co/f0JkT	1
719494840711569408	for real though the crowd at a <number> concert is literally the best	for real though the crowd at a 1975 concert is literally the best	1
16344567	go $ jo go get up out of that bermuda triangle , plenty of daylight above .	GO $JO GO get up out of that Bermuda Triangle , plenty of daylight above.	1
7830634	$ aapl <url> would need to clear $ <number> tomorrow on <number> million shares the highest down volume in last <number> days	$AAPL http://stks.co/3dac Would need to clear $587.00 tomorrow on 38 million shares the highest down volume in last 10 days	0
719582195468398592	took small posistion on $ tsla . $ tsla	Took Small posistion on $TSLA . $TSLA	0
5365505	rt <user> $ bbep top upstream mlp ranked by estimated <number> yr forward yield after tax undiscounted <number> % ( long $ bbep )	RT @MLP_Protocol $BBEP Top Upstream MLP ranked by estimated 3 yr forward yield after tax undiscounted 28.8% (long $BBEP)	1
5456001	<user> <user> in the end dropbox will end up selling for pennies on the dollar . just like box . net $ aapl	@cfm860 @devsathe in the end DropBox will end up selling for pennies on the dollar. Just like Box.net $AAPL	0
24423708	$ iwm , this pull back of <number> is similar to last <number> <number> <number> , <number> , <number> and <number> = bullish if lod holds	$IWM,this pull back of 2.94 is similar to last 4....2.86,2.82,2.73 and 2.62=bullish if LOD holds	0
5728814	$ mos looking good here at $ <number> . calls are active in this month and weekly	$MOS looking good here at $58.65. Calls are active in this month and weekly	1
35467963	$ yang double bottom <number>	$YANG Double bottom 5.2	1
30088782	$ spy hows oil < $ <number> sound  good for economy	$SPY hows oil &lt; $60 sound...good for economy	1
7957239	$ bwld been very frustrating . every tall green bar gets followed immediately by <number> - <number> weeks of consolidation .	$BWLD been very frustrating. Every tall green bar gets followed immediately by 1-3 weeks of consolidation.	0
14003238	$ jpm wouldn & # <number> ; t call any of these banks h + s quite yet . here <number> hr , could resolve up > <number> <url>	$JPM wouldn&#39;t call any of these banks h+s quite yet. Here 1 hr, could resolve up &gt; 54.38 http://stks.co/sFte	1
